seccion,domicilio,DireccionCompleta,location,lat,lon
374,"calle abasolo, número 201 sur, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","calle abasolo, número 201 sur, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Zona Los Callejones, 66230 San Pedro Garza García, N.L., Mexico",25.6499877,-100.3989242
375,"calle ignacio altamirano, sin número, colonia prados de la sierra, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","calle ignacio altamirano, sin número, colonia prados de la sierra, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Ignacio Manuel Altamirano, Prados de La Sierra, 66230 San Pedro Garza García, N.L., Mexico",25.655152,-100.4084756
376,"avenida josé vasconcelos, número 324 poniente, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","avenida josé vasconcelos, número 324 poniente, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. José Vasconcelos 324, Casco Urbano, 66200 San Pedro Garza García, N.L., Mexico",25.6630546,-100.4055397
377,"calle corregidora, sin número, colonia rincón colonial, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","calle corregidora, sin número, colonia rincón colonial, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. Corregidora, San Pedro Garza García, N.L., Mexico",25.6684287,-100.4029928
378,"calle benito juárez, número 108 norte, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","calle benito juárez, número 108 norte, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Benito Juarez, Cdad. Santa Catarina, N.L., Mexico",25.6749193,-100.461756
379,"calle reforma, sin número, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","calle reforma, sin número, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Zona Los Callejones, 66230 San Pedro Garza García, N.L., Mexico",25.6499877,-100.3989242
380,"calle porfirio díaz, sin número, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","calle porfirio díaz, sin número, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Porfirio Díaz, San Pedro Garza García, N.L., Mexico",25.6748181,-100.3261013
381,"calle hermenegildo galeana, número 1207, colonia palo blanco, san pedro garza garcía, código postal 66236, san pedro garza garcía, nuevo león.","calle hermenegildo galeana, número 1207, colonia palo blanco, san pedro garza garcía, código postal 66236, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Hermenegildo Galeana 1207, Casco Urbano, 66200 San Pedro Garza García, N.L., Mexico",25.6575528,-100.3940755
383,"calle río mississippi, número 470 poniente, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle río mississippi, número 470 poniente, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Rio Mississippi 470, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",25.6623313,-100.3797552
384,"calle río amazonas, número 202 poniente, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle río amazonas, número 202 poniente, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Río Amazonas 202, Del Valle, 66220 Monterrey, N.L., Mexico",25.6627709,-100.3735709
385,"avenida fuentes del valle, número 201 poniente, colonia fuentes del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","avenida fuentes del valle, número 201 poniente, colonia fuentes del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. Fuentes del Valle 201, Fuentes del Valle, 66224 San Pedro Garza García, N.L., Mexico",25.666005,-100.3708105
386,"calle vía valeria, número 301, colonia fuentes del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle vía valeria, número 301, colonia fuentes del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Vía Valeria 301, Fuentes del Valle, 66224 San Pedro Garza García, N.L., Mexico",25.6656189,-100.3623448
387,"calle río nazas, sin número, colonia valle oriente, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle río nazas, sin número, colonia valle oriente, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Río Nazas, Valle Oriente, San Pedro Garza García, N.L., Mexico",25.6574537,-100.3470287
